time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-11T20:02:53.239Z,43.759,-105.3019,0,3.4,ml,18,103,0.983,1.11,us,us6000hkfh,2022-07-22T18:30:50.040Z,"15 km E of Wright, Wyoming",mining explosion,5.2,1.3,0.043,72,reviewed,us,us
2022-05-10T21:33:44.270Z,40.1508,-116.7455,0,2.5,ml,15,117,0.459,0.59,us,us7000h8fl,2022-07-22T18:31:12.040Z,"32 km SSW of Crescent Valley, Nevada",mining explosion,2.3,1.6,0.048,58,reviewed,us,us
2022-05-10T20:02:00.477Z,43.7987,-105.2694,0,3.1,ml,33,61,0.947,0.28,us,us7000h8f0,2022-07-22T18:31:12.040Z,"18 km ENE of Wright, Wyoming",mining explosion,4.8,1.7,0.042,76,reviewed,us,us
2022-05-09T20:02:45.684Z,43.7023,-105.3402,0,3.1,ml,11,117,1.031,0.28,us,us7000h86c,2022-07-22T18:31:09.040Z,"13 km ESE of Wright, Wyoming",mining explosion,5.2,1.6,0.056,42,reviewed,us,us
2022-05-07T17:03:52.919Z,43.818,-105.3389,0,3.4,ml,45,55,0.988,0.58,us,us7000h7t8,2022-07-22T18:31:05.040Z,"14 km ENE of Wright, Wyoming",mining explosion,6.3,1.7,0.04,84,reviewed,us,us
2022-05-07T16:42:58.745Z,44.4969,-105.4885,0,3,ml,15,122,1.108,0.24,us,us7000h7t1,2022-07-22T18:31:05.040Z,"22 km N of Gillette, Wyoming",mining explosion,4.4,1.8,0.081,20,reviewed,us,us
2022-05-05T20:43:11.218Z,45.8206,-106.3727,0,2.8,ml,34,81,0.874,0.86,us,us7000h7dh,2022-07-09T21:40:04.040Z,"20 km ESE of Colstrip, Montana",mining explosion,3.9,1.8,0.057,40,reviewed,us,us
2022-05-02T20:09:22.115Z,44.0153,-105.4827,0,3.1,ml,19,118,1.048,0.68,us,us7000h6ff,2022-07-09T21:39:52.040Z,"23 km S of Antelope Valley-Crestview, Wyoming",mining explosion,6.2,1.6,0.046,62,reviewed,us,us
2022-05-02T19:18:08.951Z,44.4554,-105.5792,0,2.8,ml,20,117,1.157,0.92,us,us7000h8ce,2022-07-09T21:39:51.040Z,Wyoming,mining explosion,4.5,1.8,0.056,42,reviewed,us,us
2022-04-27T17:22:49.830Z,44.0592,-105.2904,0,2.9,ml,16,118,0.906,0.73,us,us6000hgqk,2022-07-05T03:41:25.040Z,"22 km SSE of Sleepy Hollow, Wyoming",mining explosion,3.5,1.7,0.074,24,reviewed,us,us
2022-04-26T21:25:06.932Z,40.5977,-109.4487,0,2.8,ml,26,94,0.095,0.63,us,us6000hgj6,2022-07-05T03:41:07.040Z,"17 km NNE of Vernal, Utah",mining explosion,1.2,1.6,0.039,86,reviewed,us,us
2022-04-22T19:59:07.031Z,43.8045,-105.3088,0,3.2,ml,,54,0.972,0.9,us,us6000hfqd,2022-06-26T01:21:00.040Z,"15 km ENE of Wright, Wyoming",mining explosion,6.1,1.7,0.042,76,reviewed,us,us
2022-04-22T16:24:35.718Z,47.4438,-92.567,0,2.9,ml,,81,0.881,0.44,us,us6000hfpa,2022-06-26T01:20:57.040Z,"2 km S of Leonidas, Minnesota",mining explosion,4.2,2,0.105,12,reviewed,us,us
2022-04-20T22:19:00.144Z,44.3195,-105.5301,0,2.7,ml,,162,1.092,0.39,us,us7000h6he,2022-06-26T01:20:16.040Z,"3 km NW of Gillette, Wyoming",mining explosion,5.2,1.8,0.077,22,reviewed,us,us
2022-04-20T19:01:55.186Z,43.8395,-105.307,0,3.1,ml,,117,0.959,0.63,us,us6000hf2v,2022-06-26T01:20:11.040Z,"17 km ENE of Wright, Wyoming",mining explosion,4.1,1.7,0.05,52,reviewed,us,us
2022-04-19T21:29:06.408Z,43.7581,-105.2714,0,3.1,ml,,104,0.963,0.36,us,us7000h3fq,2022-06-26T01:19:52.040Z,"17 km E of Wright, Wyoming",mining explosion,4.8,1,0.047,62,reviewed,us,us
2022-04-19T17:26:53.538Z,47.5098,-92.7241,0,2.9,ml,,78,0.937,0.78,us,us7000h3dr,2022-06-26T01:19:47.040Z,Minnesota,mining explosion,2.6,2,0.105,12,reviewed,us,us
2022-04-18T23:39:06.829Z,43.7727,-105.3666,0,2.6,ml,,95,1.022,0.8,us,us7000h36s,2022-06-26T01:19:23.040Z,"10 km ENE of Wright, Wyoming",mining explosion,4.5,1.8,0.059,38,reviewed,us,us
2022-04-18T18:04:53.492Z,43.8722,-105.2963,0,3.3,ml,,65,0.943,0.72,us,us7000h34m,2022-06-26T01:19:15.040Z,"20 km NE of Wright, Wyoming",mining explosion,6.7,1.6,0.042,76,reviewed,us,us
2022-04-17T22:21:04.832Z,33.1006,-109.3488,0,2.6,ml,,59,0.534,0.72,us,us7000h2yw,2022-06-26T20:20:25.040Z,"2 km NNE of Morenci, Arizona",mining explosion,1.4,1.5,0.052,48,reviewed,us,us
2022-04-17T19:07:27.465Z,43.5216,-105.2417,0,3,ml,,89,1.058,1.02,us,us7000h2xs,2022-06-26T01:18:57.040Z,"32 km SE of Wright, Wyoming",mining explosion,8.1,1.7,0.062,34,reviewed,us,us
2022-04-16T20:09:59.736Z,43.7272,-105.3608,0,3,ml,,79,1.035,0.97,us,us7000h2qq,2022-06-26T01:18:34.040Z,"10 km ESE of Wright, Wyoming",mining explosion,4.2,1.8,0.051,62,reviewed,us,us
2022-04-15T17:34:33.762Z,44.2008,-105.3978,0,3,ml,,66,0.983,1.05,us,us6000hfar,2022-06-20T22:07:30.040Z,"4 km SSE of Sleepy Hollow, Wyoming",mining explosion,3.3,1.8,0.051,50,reviewed,us,us
2022-04-13T21:02:16.174Z,43.7583,-105.3598,0,3.1,ml,,80,1.022,0.67,us,us7000h1z4,2022-06-20T22:08:08.040Z,"10 km E of Wright, Wyoming",mining explosion,7.7,1.7,0.05,54,reviewed,us,us
2022-04-11T22:04:29.103Z,45.6793,-106.5474,0,3.1,ml,,118,1.034,0.93,us,us7000h1d9,2022-06-20T22:07:52.040Z,"11 km NE of Lame Deer, Montana",mining explosion,4.5,1.6,0.052,48,reviewed,us,us
2022-04-09T22:26:40.574Z,43.732,-105.2999,0,3,ml,,71,0.992,0.88,us,us7000h1w2,2022-06-20T22:08:07.040Z,"15 km E of Wright, Wyoming",mining explosion,6.7,1.7,0.055,50,reviewed,us,us
2022-04-08T17:54:12.202Z,45.9289,-106.5962,0,2.9,ml,,79,0.802,0.65,us,us7000h0s3,2022-06-11T20:21:23.040Z,"5 km NNE of Colstrip, Montana",mining explosion,5.7,1.9,0.052,48,reviewed,us,us
2022-04-06T16:55:43.583Z,47.5956,-92.7473,0,2.9,ml,,84,0.914,0.37,us,us7000h1se,2022-06-11T20:21:23.040Z,"9 km N of Kinney, Minnesota",mining explosion,3.4,2,0.115,10,reviewed,us,us
2022-04-05T19:25:02.069Z,43.5962,-105.2929,0,3.2,ml,,120,1.049,1.11,us,us7000gzxy,2022-06-11T20:21:22.040Z,Wyoming,mining explosion,5.4,1.7,0.053,46,reviewed,us,us
2022-04-04T17:59:12.802Z,43.7808,-105.3384,0,3,ml,,104,1,0.44,us,us7000h0pe,2022-06-11T20:21:22.040Z,Wyoming,mining explosion,4.3,1.7,0.088,17,reviewed,us,us
