time,lat,lon,depth,mag,magType,nst,gap,dmin,rms
2022-11-17T00:21:03.814Z,31.61147683,-103.960608,6.118713379,2.5,ml,35,49,0.007065361,0.1
2022-11-16T23:15:03.852Z,31.61717663,-103.9748891,7.738317871,2.8,ml,67,41,0.008289409,0.2
2022-11-16T22:50:36.340Z,31.6073499,-103.9932696,8.496704102,2.6,ml,33,57,0.021108834,0.2
2022-11-16T22:39:13.563Z,31.62947111,-104.0091105,8.123937988,4,ml,65,28,0.01217681,0.2
2022-11-16T22:01:04.256Z,31.63447804,-103.9896289,5.874487305,2.6,ml,18,83,0.029693731,0.1
2022-11-16T21:52:02.421Z,31.62852652,-103.9826069,8.702368164,2.5,ml,48,36,0.02137164,0.3
2022-11-16T21:46:03.596Z,31.60882457,-103.9636898,8.650952148,2.6,ml,28,47,0.041801135,0.2
2022-11-16T21:40:29.772Z,31.61834703,-103.9681694,5.604553223,3.4,ml,31,76,0.007681257,0.2
2022-11-16T21:39:45.025Z,31.6365363,-103.992598,5.334619141,2.8,ml,25,58,0.027232747,0.2
2022-11-16T21:36:30.788Z,31.63425093,-103.9888208,6.620019531,2.6,ml,13,86,0.028614274,0.1
2022-11-16T21:32:44.481Z,31.6367452,-103.9987871,6.902807617,5.4,ml,42,46,0.023451524,0.1
2022-11-16T13:47:44.447Z,47.2851,-114.1267,11.888,3.7,mwr,41,50,0.474,0.82
2022-11-16T10:29:50.960Z,42.214,-111.091,7.6,3.04,ml,29,100,0.1986,0.21
2022-11-16T10:20:08.970Z,42.2158333,-111.0901667,7.23,2.6,ml,30,100,0.1991,0.2
2022-11-16T09:58:54.140Z,42.2126667,-111.091,9.49,3.57,ml,26,100,0.1978,0.24
2022-11-16T09:41:58.110Z,42.2076667,-111.0896667,10.25,2.97,ml,26,99,0.1942,0.2
2022-11-16T09:18:22.180Z,42.2151667,-111.0913333,7.61,2.81,ml,30,100,0.1995,0.2
2022-11-16T05:22:16.280Z,37.4401667,-122.4241667,10.54,2.83,md,122,155,0.01136,0.12
2022-11-15T19:28:25.937Z,38.2014,-117.8786,8.2,2.5,ml,20,84.6,0.084,0.1476
2022-11-15T10:49:13.730Z,35.28233333,-98.01733333,7.9,2.92,ml,96,33,0,0.17
2022-11-15T10:40:53.304Z,31.56097224,-104.1038136,7.057055664,2.7,ml,52,64,0.025486455,0.2
2022-11-15T04:01:52.499Z,39.3318,-117.4792,9.2,3,ml,12,72.82,0.496,0.123
2022-11-15T02:23:33.302Z,45.7212,-73.6966,7.952,3,mb_lg,28,82,0.227,0.39
2022-11-14T20:29:54.130Z,38.8171667,-122.7993333,3.39,2.69,md,44,32,,0.03
2022-11-14T20:27:18.830Z,38.82,-122.793,2.92,2.96,md,85,26,,0.05
2022-11-14T15:45:04.890Z,44.7905,-110.8218333,7.63,2.59,ml,26,103,0.02053,0.21
2022-11-14T14:11:53.427Z,32.27325439,-101.9349038,7.898885091,2.9,ml,38,84,0.045857232,0.2
2022-11-14T05:36:13.104Z,44.3576,-115.1455,10,2.6,ml,12,67,0.951,0.26
2022-11-13T18:43:11.714Z,32.6524,-93.9825,5,3,mb_lg,26,130,0.417,0.45
2022-11-13T12:14:56.703Z,31.68403456,-104.3844888,7.416967773,2.5,ml,48,68,0.035497058,0.2
2022-11-13T06:46:45.620Z,31.56471977,-104.1141859,6.81282959,2.6,ml,62,65,0.016745166,0.2
2022-11-13T06:41:59.751Z,31.56818731,-104.1093671,7.04420166,2.6,ml,68,54,0.017234275,0.2
2022-11-13T04:36:24.265Z,31.65098384,-104.2173573,6.851391602,3.3,ml,25,64,0.045491894,0.2
2022-11-13T04:32:11.549Z,31.64823732,-104.2151853,8.033959961,2.8,ml,42,64,0.048418175,0.2
2022-11-12T17:06:55.630Z,36.8175,-121.5528333,6.37,2.73,md,82,27,0.02875,0.18
2022-11-12T14:01:55.063Z,44.2666,-115.1034,10,3,ml,17,67,0.862,0.5
2022-11-12T13:45:07.260Z,41.5125,-112.1813333,10.07,3.58,ml,30,67,0.09341,0.15
2022-11-12T13:11:22.400Z,38.5111667,-119.5185,4.48,3.09,ml,24,83,0.03055,0.07
2022-11-12T10:20:31.090Z,31.5266667,-115.7781667,17.69,2.78,ml,12,149,0.1349,0.21
2022-11-12T09:58:48.186Z,43.8328,-109.2494,10.289,3.5,ml,68,35,1.006,0.61
2022-11-12T09:30:12.610Z,38.1878,-117.8543,6.2,2.5,ml,14,55.2,0.096,0.1476
2022-11-12T04:31:09.900Z,37.8308333,-122.0476667,9.69,2.71,md,134,35,0.0188,0.17
2022-11-12T04:13:23.760Z,32.22198486,-103.0796256,6.871785482,2.6,ml,28,49,0.300802544,0.2
2022-11-11T12:05:35.820Z,35.8905,-117.7288333,2.73,2.8,ml,35,54,0.08685,0.15
2022-11-11T11:16:19.920Z,35.7415,-117.5666667,3.56,3.19,ml,45,70,0.07821,0.15
2022-11-11T06:16:59.080Z,35.8008333,-90.1481667,6.03,2.5,md,38,44,0.01682,0.22
2022-11-11T06:09:30.880Z,36.3435,-89.433,4.38,3.19,md,57,35,0.05148,0.17
2022-11-11T04:08:15.403Z,31.10995141,-103.2439976,2.738110352,2.7,ml,31,60,0.016562452,0.2
2022-11-10T23:25:48.950Z,34.72283333,-98.48466667,20.94,2.76,ml,101,95,0.244751971,0.43
2022-11-10T13:29:43.910Z,38.8085,-122.735,2.41,2.61,md,82,52,0.01222,0.07
2022-11-10T06:04:24.936Z,31.61005255,-104.3069072,7.57121582,2.7,ml,53,60,0.071304711,0.2
2022-11-10T02:34:13.443Z,40.1488,-119.1397,8.2,2.5,ml,13,199.96,0.453,0.1773
2022-11-10T00:06:43.616Z,40.1662,-119.1438,13,2.5,ml,8,186.55,0.45,0.1776
2022-11-09T22:56:27.510Z,31.5633333,-115.6926667,4.02,2.97,ml,11,114,0.1883,0.07
2022-11-09T21:51:19.190Z,34.944,-97.62583333,10.88,2.71,ml,100,35,0.035992937,0.26
2022-11-09T13:48:48.770Z,40.1633,-119.1358,8,2.6,ml,11,186.48,0.456,0.1326
2022-11-09T10:12:07.123Z,31.5097,-115.6351,18.894,2.7,ml,34,102,0.173,0.74
2022-11-08T17:56:22.310Z,31.6668,-104.3661,7.25,2.7,ml,51,48,0.057,0.56
2022-11-08T17:35:07.270Z,40.2838333,-124.4176667,8.5,2.53,md,26,238,0.05761,0.15
2022-11-08T16:35:25.910Z,39.6085,-120.3948333,-1.58,2.76,md,25,63,0.1336,0.12
2022-11-08T15:26:06.880Z,39.4851667,-123.115,3.83,2.63,md,46,71,0.09427,0.08
2022-11-08T13:42:31.680Z,40.1563,-119.1389,7,2.5,ml,13,104.06,0.454,0.2315
2022-11-08T11:57:11.424Z,31.66201297,-104.3783731,6.697143555,3.3,ml,27,66,0.046118141,0.4
2022-11-08T03:50:53.985Z,40.172,-119.148,8.3,3.3,ml,24,57.64,0.447,0.1429
2022-11-08T00:14:02.870Z,31.5643333,-115.6708333,0.74,2.65,ml,10,128,0.1977,0.09
2022-11-07T19:41:35.350Z,38.5181667,-119.5206667,4.61,3.23,ml,22,96,0.03226,0.05
2022-11-07T19:38:53.130Z,39.7935,-123.1898333,5.85,2.51,md,42,40,0.09883,0.14
2022-11-07T19:32:58.440Z,38.5203333,-119.5126667,4.55,2.88,md,20,103,0.02641,0.05
2022-11-07T15:15:03.090Z,31.65135131,-104.3180018,7.468383789,3.5,ml,36,128,0.049610728,0.3
2022-11-07T13:13:52.350Z,32.727,-118.2761667,5.85,2.63,ml,32,223,0.3399,0.26
2022-11-07T10:43:04.488Z,43.0277,-111.593,10,3.1,ml,35,63,0.447,0.51
2022-11-07T06:09:33.679Z,36.53883333,-98.96366667,6.64,2.51,ml,90,47,0,0.2
2022-11-07T05:13:56.560Z,31.5623333,-115.6716667,0.39,2.5,ml,11,107,0.1956,0.07
2022-11-07T05:10:26.660Z,31.509,-115.782,21.56,3.81,ml,9,164,0.1173,0.14
2022-11-07T04:59:02.620Z,31.5571667,-115.6993333,7.04,4.04,mw,14,87,0.1804,0.1
2022-11-07T04:52:55.210Z,31.5536667,-115.7113333,8.36,3.69,ml,14,91,0.1733,0.2
2022-11-07T04:50:33.060Z,31.5138333,-115.7966667,19.58,3.1,ml,9,172,0.1225,0.2
2022-11-07T04:14:51.182Z,44.3663,-115.1659,10,3.6,ml,34,61,0.935,0.68
2022-11-07T02:01:27.780Z,39.4828333,-123.1165,5.62,3.76,mw,65,71,0.09557,0.08
2022-11-06T22:54:08.509Z,34.66583333,-96.0045,23.54,2.55,ml,74,88,0.321236962,0.29
2022-11-06T15:37:38.369Z,36.54016667,-98.96333333,6.7,2.61,ml,100,47,0,0.17
2022-11-06T11:39:53.160Z,36.9838333,-112.9426667,16.48,3.78,ml,28,87,0.102,0.24
2022-11-05T20:39:33.120Z,33.8315,-118.2781667,11.22,2.69,ml,75,63,0.0384,0.27
2022-11-05T19:06:48.590Z,36.629,-121.2515,9.46,2.8,md,79,54,0.05395,0.11
2022-11-05T18:44:12.230Z,37.0878333,-91.0195,8.1,3.16,md,55,39,0.08211,0.31
2022-11-05T10:59:26.120Z,35.647,-117.4993333,7.95,2.66,ml,38,55,0.1324,0.12
2022-11-05T01:48:32.547Z,28.96087646,-97.99804688,4.524129232,2.8,ml,23,43,0.020797881,0.3
2022-11-05T01:01:29.521Z,31.6791131,-104.4339741,5.977319336,2.5,ml,49,52,0.023011938,0.2
2022-11-04T20:27:36.120Z,38.8333333,-122.795,1.26,2.94,md,81,40,0.006238,0.07
2022-11-04T20:26:32.930Z,38.8331667,-122.7961667,2.47,3.19,ml,90,22,0.006934,0.05
2022-11-04T16:57:49.704Z,44.6548,-112.5143,10.613,2.9,ml,32,48,0.105,0.65
2022-11-04T11:46:03.760Z,37.4886667,-119.4043333,21.94,2.55,md,46,38,0.2113,0.07
2022-11-04T10:02:46.659Z,28.1745,-112.3029,10,6.1,mww,173,90,0.853,0.71
2022-11-04T02:10:30.931Z,28.96179199,-97.98874081,2.494384766,2.7,ml,23,47,0.016519221,0.3
2022-11-04T02:09:23.887Z,28.96362305,-97.99494485,6.94514974,2.8,ml,25,37,0.02096851,0.3
2022-11-04T02:08:26.420Z,38.8363333,-122.8013333,1.81,2.83,md,83,28,0.008829,0.07
2022-11-03T21:25:57.820Z,28.98834229,-98.03527114,2.469930013,3,ml,26,34,0.06341651,0.3
